StreetCode1,StreetCode2,StreetCode3,Violation County,NViolations
9430,7080,7230,K,1
9430,11045,5430,K,1
9480,6180,6280,K,1
9480,40404,40404,K,3
9520,27030,27060,BX,1
9520,27090,0,BX,1
9530,5780,5880,K,2
9530,6480,6580,K,1
9530,11045,5430,K,1
9580,6280,6380,K,1
9630,5880,5980,K,1
9630,10625,5430,K,1
9680,5430,5580,K,1
9680,6280,6380,K,1
9730,5880,5980,K,2
9730,5980,42630,K,1
9730,6080,6180,K,1
9730,6280,6380,K,1
9730,17330,7430,K,1
9780,0,0,K,2
9780,6880,6980,K,1
9780,7530,31330,K,2
9820,9920,75120,BX,1
9980,5280,5430,K,2
9980,5430,5580,K,1
9980,5880,5980,K,1
9980,15945,73330,K,2
9980,64730,6680,K,1
10020,12220,27660,BX,1
10020,27570,27570,BX,2
10020,27750,27810,BX,1
10020,27810,27840,BX,1
10030,5880,42630,K,2
10030,6180,6280,K,2
10030,6780,6880,K,1
10030,6980,7080,K,1
10030,73340,70375,K,1
10080,6280,6380,K,1
10080,6980,7080,K,1
10080,73340,70375,K,1
10180,5430,5580,K,1
10180,5880,42630,K,1
10180,7080,7230,K,1
10180,28230,73330,K,1
10180,73330,5280,K,1
10230,5280,5430,K,1
10230,6280,6380,K,1
10230,6480,6580,K,1
10230,6780,6880,K,1
10230,7230,17330,K,1
10280,0,0,K,1
10280,28230,73330,K,3
10320,10520,15920,BX,1
10380,0,0,K,1
10380,6780,6880,K,1
10420,16620,62520,BX,2
10420,68220,72920,BX,1
10430,6780,6880,K,1
10430,7230,17330,K,1
10480,5580,5680,K,1
10480,7080,7230,K,2
10480,40404,40404,K,1
10530,5580,5680,K,1
10530,7080,7230,K,1
10580,0,0,K,1
10580,5580,5680,K,3
10620,8930,47520,BX,1
10620,47520,57720,BX,1
10620,72920,48020,BX,1
10730,5430,5580,K,1
10730,6880,6980,K,1
10780,42630,0,K,1
10880,5430,5580,K,7
10880,7080,16580,K,1
10880,7230,16680,K,3
10880,16480,16530,K,2
10880,16630,7230,K,2
10880,16680,16730,K,1
10880,16830,7430,K,1
10880,16930,7530,K,1
10880,17330,16780,K,1
10880,63530,28230,K,1
10930,0,0,K,1
10930,5430,5580,K,4
10980,63530,28230,K,1
11140,37420,77450,BX,1
11140,77450,16020,BX,1
11320,27150,27180,BX,1
11330,0,0,K,1
11380,5280,5430,K,1
11620,11470,12550,BX,1
11620,17120,58620,BX,2
11800,0,0,K,1
12220,23920,73720,BX,1
12220,70720,14620,BX,1
12330,0,0,K,1
12330,40930,18630,K,1
12525,36170,36190,BX,1
12830,46530,42730,K,1
12830,49930,46530,K,4
12920,40404,40404,BX,1
13230,93250,31530,K,1
13430,5580,5680,K,16
13430,27530,29830,K,1
13430,29830,20110,K,3
13430,48830,27530,K,1
13880,35930,35980,K,1
13880,67030,36180,K,1
13930,0,0,K,1
13980,0,0,K,2
13980,36230,64830,K,1
14020,57720,9620,BX,1
14030,36130,67030,K,1
14080,35380,35430,K,1
14080,36730,36780,K,1
14080,36880,75430,K,1
14080,37610,37630,K,2
14080,37680,37730,K,1
14130,12130,36730,K,1
14130,36330,36380,K,1
14180,36080,36130,K,2
14180,37474,37480,K,1
14180,38130,38180,K,1
14180,59430,34980,K,2
14220,73420,76950,BX,2
14220,76950,26820,BX,1
14230,34930,34980,K,1
14230,35380,35430,K,1
14230,35580,35630,K,2
14230,35680,67530,K,1
14280,0,0,K,1
14280,35130,35180,K,1
14330,0,0,K,1
14380,0,0,K,1
14530,0,0,K,5
14530,36030,36080,K,1
14580,81830,91130,K,1
14620,12220,27660,BX,1
14620,20560,27480,BX,2
14620,27480,27540,BX,1
14620,27570,27600,BX,1
14630,18630,35980,K,1
14630,35330,50430,K,1
14630,37180,37230,K,3
14680,35430,35480,K,1
14680,40404,40404,K,1
14680,90780,90730,K,1
14780,76330,35380,K,1
14830,35330,50430,K,1
14880,35830,53210,K,1
14920,43720,71690,BX,2
14920,53320,74990,BX,11
14920,71690,74960,BX,1
14920,74960,53320,BX,4
14920,74990,75020,BX,3
14980,73110,50930,K,1
15020,10880,10880,BX,2
15020,12550,28290,BX,1
15020,15220,62520,BX,1
15180,29830,77730,K,1
15220,0,0,BX,1
15380,22030,22080,K,1
