id,highedu,race,time,divorce
7558,0,0,1,1
7563,0,0,1,1
7584,0,0,1,0
7624,0,0,1,0
7645,0,0,1,1
7692,0,0,1,1
7776,0,0,1,0
7779,0,0,1,0
7818,0,0,1,0
7853,0,0,1,0
7905,0,0,1,1
7928,0,0,1,0
7998,1,0,1,0
8128,0,0,1,0
8231,0,0,1,0
8244,0,0,1,1
8265,1,0,1,0
8364,0,0,1,0
8419,1,0,1,0
8433,0,1,1,1
8486,0,0,1,1
8555,0,0,1,0
8673,0,1,1,0
8786,0,0,1,1
8789,0,0,1,0
8969,0,0,1,1
9057,0,0,1,0
9308,0,0,1,1
9336,0,1,1,0
9458,0,0,1,0
9536,0,1,1,1
9857,0,1,1,0
9874,0,1,1,0
10128,0,1,1,0
10197,0,0,1,0
10217,0,0,1,0
10325,0,1,1,0
10349,0,0,1,1
10528,0,0,1,0
10555,0,0,1,0
10650,0,0,1,0
10718,0,0,1,1
10773,0,0,1,1
10786,0,0,1,1
10803,0,0,1,0
10839,0,0,1,1
10914,0,1,1,0
10953,0,0,1,0
11268,0,0,1,0
11315,0,0,1,1
11516,0,1,1,1
11562,0,0,1,1
11571,0,0,1,0
11683,0,0,1,1
11775,0,0,1,0
11791,0,0,1,0
11814,0,0,1,0
11930,0,1,1,0
11973,0,1,1,0
12040,0,0,1,0
12080,0,0,1,0
12283,0,1,1,0
12301,0,0,1,0
12302,0,1,1,0
12306,0,1,1,1
12509,0,1,1,0
12577,0,0,1,1
12618,0,0,1,0
12624,0,0,1,1
12627,0,0,1,1
12639,0,0,1,1
12643,0,1,1,1
12900,0,0,1,1
13006,0,0,1,0
13082,0,1,1,1
13164,0,0,1,0
13167,0,0,1,0
13264,0,1,1,1
13356,0,1,1,1
13373,0,1,1,1
13591,1,1,1,1
13944,0,1,1,1
13964,0,1,1,1
14002,0,1,1,0
14006,1,0,1,0
14042,0,1,1,0
14122,0,0,1,1
14126,0,0,1,1
14320,0,1,1,1
14392,0,1,1,1
14734,0,0,1,0
14822,0,1,1,0
14839,0,0,1,1
15011,0,0,1,1
15061,0,1,1,0
15095,0,0,1,0
15158,0,0,1,1
15185,0,1,1,1
15257,0,1,1,0
15364,0,0,1,0
15490,0,0,1,0
15523,0,0,1,1
15899,0,1,1,0
15937,0,0,1,1
15994,0,1,1,0
16087,1,1,1,0
16228,0,1,1,0
16232,0,1,1,0
16262,0,1,1,1
16636,0,1,1,0
16788,0,1,1,0
16865,0,1,1,0
16880,0,1,1,0
16908,0,1,1,0
16914,0,1,1,0
17045,1,1,1,0
17162,0,1,1,0
17163,0,1,1,0
17190,0,1,1,1
17271,0,1,1,0
13,0,0,2,1
145,0,0,2,0
264,0,0,2,1
346,0,0,2,1
431,0,0,2,1
437,0,0,2,1
763,0,0,2,0
774,0,0,2,0
807,0,0,2,1
829,0,0,2,0
1098,0,0,2,1
1273,0,0,2,1
1632,1,0,2,0
1724,0,0,2,1
1745,0,0,2,0
1805,0,0,2,1
2428,0,0,2,1
2739,0,0,2,0
2787,0,0,2,1
3018,0,0,2,0
3026,0,0,2,1
3052,0,0,2,0
3136,0,0,2,0
3254,0,0,2,0
3437,0,0,2,0
3508,0,0,2,0
3655,0,0,2,0
3658,0,0,2,0
3694,0,0,2,0
3784,0,0,2,1
4136,0,0,2,1
4451,1,0,2,0
4541,0,0,2,0
4711,1,0,2,1
5071,0,0,2,0
5123,0,0,2,1
