BOROUGH,NEIGHBORHOOD,RESIDENTIAL_UNITS,COMMERCIAL_UNITS,TOTAL_UNITS,LAND_SQUARE_FEET,GROSS_SQUARE_FEET,YEAR_BUILT,SALE_PRICE
1,UPPER EAST SIDE (79-96),1,0,1,-,-,2014,5564736
1,UPPER EAST SIDE (96-110),0,0,0,-,-,1924,5550000
1,UPPER WEST SIDE (59-79),7,0,7,1635,3636,1910,5500000
1,UPPER WEST SIDE (59-79),0,0,0,-,-,1928,5500000
2,KINGSBRIDGE HTS/UNIV HTS,21,6,27,5000,25500,1925,5450000
1,TRIBECA,1,0,1,-,-,-,5400000
1,UPPER WEST SIDE (96-116),1,0,1,-,-,1920,5391633
3,EAST NEW YORK,0,1,1,32600,37000,1952,5350000
1,MIDTOWN EAST,1,0,1,-,-,2014,5348812
3,SHEEPSHEAD BAY,0,9,9,8272,12080,1981,5300000
1,UPPER EAST SIDE (79-96),0,0,0,-,-,1973,5300000
1,CIVIC CENTER,1,0,1,-,-,2008,5294900
1,UPPER WEST SIDE (59-79),1,0,1,-,-,2015,5243987
1,TRIBECA,1,0,1,-,-,1915,5200000
1,UPPER EAST SIDE (59-79),0,0,0,-,-,1923,5200000
3,EAST NEW YORK,0,1,1,19300,22000,1960,5096568
1,UPPER WEST SIDE (59-79),1,0,1,-,-,2008,5050000
1,MIDTOWN EAST,1,0,1,-,-,1984,5000000
1,MIDTOWN EAST,0,0,0,-,-,1931,5000000
1,MIDTOWN EAST,1,0,1,-,-,2014,4961877
1,CIVIC CENTER,1,0,1,-,-,2007,4908960
1,FLATIRON,1,0,1,-,-,1983,4900000
1,GREENWICH VILLAGE-WEST,1,0,1,-,-,1920,4836687
1,GREENWICH VILLAGE-WEST,1,0,1,-,-,2013,4796230
3,WILLIAMSBURG-EAST,6,0,6,2863,5000,1920,4750000
1,CIVIC CENTER,1,0,1,-,-,2008,4638128
1,CIVIC CENTER,1,0,1,-,-,2007,4625000
1,CIVIC CENTER,1,0,1,-,-,2008,4571942
1,GRAMERCY,1,0,1,-,-,1957,4544306
3,BROOKLYN HEIGHTS,1,0,1,-,-,2015,4539714
1,MIDTOWN WEST,0,0,0,-,-,1927,4500000
1,CHELSEA,0,0,0,-,-,-,4450000
4,FLUSHING-NORTH,0,0,1,-,-,2014,4444705
1,TRIBECA,1,0,1,-,-,1930,4429387
1,MIDTOWN WEST,0,0,1,-,-,-,4395000
1,UPPER WEST SIDE (79-96),1,0,1,-,-,-,4350000
3,BUSHWICK,8,0,8,2500,8500,1910,4300000
4,JAMAICA,0,0,0,4750,-,-,4300000
1,MIDTOWN EAST,1,0,1,-,-,2008,4210453
1,UPPER WEST SIDE (79-96),0,0,0,-,-,1914,4205000
1,HARLEM-CENTRAL,1,0,1,-,-,2006,4200000
3,WILLIAMSBURG-SOUTH,4,0,4,2060,3708,1910,4200000
3,CROWN HEIGHTS,20,0,20,6000,16380,1900,4200000
1,GRAMERCY,1,0,1,-,-,1987,4125000
1,WASHINGTON HEIGHTS LOWER,10,0,10,2498,9685,1913,4100000
1,UPPER WEST SIDE (79-96),1,0,1,-,-,1912,4100000
1,TRIBECA,1,0,1,-,-,1915,4100000
1,CHELSEA,0,0,0,-,-,2008,4100000
1,FINANCIAL,1,0,1,-,-,2014,4001722
1,MIDTOWN EAST,0,0,0,-,-,1967,4000000
1,CHELSEA,1,0,1,-,-,-,4000000
3,DOWNTOWN-FULTON MALL,1,0,1,1590,4296,2005,3995000
1,FLATIRON,1,0,1,-,-,2013,3994990
1,GREENWICH VILLAGE-CENTRAL,0,0,0,-,-,1923,3985000
1,MIDTOWN EAST,1,0,1,-,-,-,3975000
2,RIVERDALE,0,0,0,-,-,1949,3861567
3,WILLIAMSBURG-EAST,3,0,3,2500,2550,1910,3800000
1,HARLEM-CENTRAL,2,0,2,2498,3000,1909,3750000
3,BOERUM HILL,1,0,1,1600,2560,2005,3750000
1,FLATIRON,1,0,1,-,-,-,3737500
1,HARLEM-EAST,38,0,38,8074,38164,1910,3730232
3,BROOKLYN HEIGHTS,1,0,1,-,-,2015,3720023
1,CHELSEA,0,0,0,-,-,1908,3700000
1,MIDTOWN WEST,0,0,1,-,-,2009,3656610
1,MIDTOWN EAST,1,0,1,-,-,2007,3640622
1,FINANCIAL,1,0,1,-,-,2014,3609696
3,MADISON,0,2,2,4226,10349,1925,3600000
3,PARK SLOPE,1,0,1,1700,2559,1901,3600000
3,PARK SLOPE,3,0,3,1710,3640,1901,3594500
1,MURRAY HILL,18,0,18,-,28801,2013,3584743
1,UPPER WEST SIDE (59-79),1,0,1,-,-,-,3575000
3,CLINTON HILL,2,0,2,2575,6200,1901,3500000
4,KEW GARDENS,0,9,9,6000,6000,1950,3500000
3,FORT GREENE,5,0,5,2254,4600,2000,3500000
1,TRIBECA,0,0,0,-,-,1920,3500000
3,BOROUGH PARK,1,0,1,4007,5568,2003,3500000
3,BROOKLYN HEIGHTS,1,0,1,742,2191,1900,3500000
1,FLATIRON,1,0,1,-,-,2007,3450000
4,RIDGEWOOD,0,2,2,20579,4177,1922,3400000
4,FLUSHING-NORTH,0,0,1,-,-,2014,3353588
2,SOUNDVIEW,0,0,0,2500,-,-,3350000
1,UPPER EAST SIDE (59-79),0,0,0,-,-,1907,3325000
1,MIDTOWN CBD,0,0,0,-,-,1908,3325000
3,COBBLE HILL,5,0,5,2500,5000,1900,3315000
3,WILLIAMSBURG-EAST,0,1,1,9492,9400,1930,3300000
1,SOHO,1,0,1,-,-,2003,3300000
1,UPPER EAST SIDE (79-96),1,0,1,-,-,1920,3300000
4,FLUSHING-NORTH,9,1,10,3300,9288,1998,3300000
3,CARROLL GARDENS,1,0,1,1280,3072,1901,3287500
3,BUSH TERMINAL,0,1,1,1670,3332,1999,3280000
2,MORRISANIA/LONGWOOD,0,1,1,10000,20000,1920,3259250
3,GOWANUS,2,0,2,2000,2130,1899,3250000
1,GRAMERCY,1,0,1,-,-,1927,3222529
1,HARLEM-CENTRAL,4,0,4,1549,3796,1983,3205500
1,CHELSEA,1,0,1,-,-,-,3200000
3,COBBLE HILL-WEST,8,0,8,2621,6000,1931,3200000
1,TRIBECA,1,0,1,-,-,1930,3197305
1,UPPER EAST SIDE (59-79),1,0,1,-,-,-,3150000
3,CARROLL GARDENS,3,0,3,1667,2142,1899,3125000
1,UPPER EAST SIDE (59-79),1,0,1,-,-,-,3113912
1,MIDTOWN EAST,1,0,1,-,-,-,3100000
1,UPPER EAST SIDE (79-96),1,0,1,-,-,1988,3065000
1,CHELSEA,1,0,1,-,-,2014,3050000
3,CARROLL GARDENS,4,0,4,2083,2499,1900,3050000
3,PARK SLOPE,2,0,2,2533,1656,1920,3050000
1,UPPER WEST SIDE (96-116),1,0,1,-,-,2005,3035000
1,SOHO,0,0,0,-,-,1900,3000000
2,WAKEFIELD,0,1,1,30750,28910,1883,3000000
2,BATHGATE,0,1,1,8288,16380,1931,3000000
