BOROUGH,NEIGHBORHOOD,RESIDENTIAL_UNITS,COMMERCIAL_UNITS,TOTAL_UNITS,LAND_SQUARE_FEET,GROSS_SQUARE_FEET,YEAR_BUILT,SALE_PRICE
4,ASTORIA,4,0,4,2500,2982,1931,1700000
1,GREENWICH VILLAGE-CENTRAL,0,0,0,-,-,1965,1700000
3,GREENPOINT,2,0,2,2106,1696,1901,1700000
1,UPPER EAST SIDE (59-79),1,0,1,-,-,-,1700000
3,MIDWOOD,1,0,1,5000,3046,1920,1700000
1,HARLEM-CENTRAL,1,0,1,-,-,2007,1699000
3,DOWNTOWN-FULTON MALL,1,0,1,-,-,2014,1695386
1,MIDTOWN EAST,1,0,1,-,-,1983,1688000
4,WOODSIDE,4,0,4,1710,3680,2004,1685000
1,FLATIRON,1,0,1,-,-,1915,1680112
1,EAST VILLAGE,0,0,0,-,-,1928,1680000
1,CLINTON,1,0,1,-,-,2006,1680000
3,CROWN HEIGHTS,1,0,1,2100,3780,1910,1675000
1,UPPER WEST SIDE (79-96),1,0,1,-,-,1920,1670000
1,UPPER WEST SIDE (79-96),0,0,0,-,-,1926,1660000
3,BEDFORD STUYVESANT,2,0,2,2000,2400,1899,1660000
3,BOROUGH PARK,2,0,2,3400,1800,1944,1650000
3,BENSONHURST,3,0,3,3000,3674,1965,1650000
3,WILLIAMSBURG-SOUTH,1,0,1,-,-,2009,1649565
3,FLATBUSH-CENTRAL,1,0,1,4000,2085,1910,1645000
1,GREENWICH VILLAGE-CENTRAL,0,0,0,-,-,1921,1637500
1,UPPER EAST SIDE (79-96),0,0,0,-,-,1924,1635000
1,UPPER EAST SIDE (59-79),0,0,0,-,-,1963,1630018
3,FORT GREENE,1,0,1,-,-,-,1625000
1,HARLEM-CENTRAL,2,0,2,1499,3000,1899,1625000
1,CHELSEA,0,0,0,-,-,1910,1625000
3,CARROLL GARDENS,1,0,1,-,-,-,1620000
3,BOROUGH PARK,4,0,4,2563,3600,1930,1620000
1,CHELSEA,1,0,1,-,-,2006,1615000
3,OCEAN PARKWAY-NORTH,2,0,2,4000,3096,1930,1615000
1,MURRAY HILL,1,0,1,-,-,2006,1615000
3,BUSHWICK,2,0,2,4709,3992,1901,1600000
3,EAST NEW YORK,5,0,5,2250,5664,1923,1600000
1,UPPER WEST SIDE (96-116),0,0,0,-,-,1924,1600000
4,DOUGLASTON,1,0,1,6000,2880,1960,1600000
1,UPPER WEST SIDE (79-96),0,0,0,-,-,1926,1595000
1,UPPER WEST SIDE (59-79),0,0,0,-,-,1962,1590512
3,COBBLE HILL,0,0,0,-,-,1900,1580000
1,KIPS BAY,1,0,1,-,-,-,1575000
1,CHELSEA,1,0,1,-,-,2007,1575000
1,UPPER EAST SIDE (79-96),0,0,0,-,-,1922,1575000
3,DOWNTOWN-FULTON MALL,1,0,1,-,-,2014,1563013
3,BAY RIDGE,1,0,1,-,-,2004,1562000
3,BEDFORD STUYVESANT,1,0,1,1567,2118,1901,1560000
3,BAY RIDGE,3,0,3,2187,2752,1925,1560000
1,MIDTOWN EAST,1,0,1,-,-,1962,1557000
3,BEDFORD STUYVESANT,3,0,3,1500,3360,1915,1555000
1,FLATIRON,0,0,0,-,-,1900,1550000
3,CANARSIE,0,1,1,6000,5000,1952,1550000
3,WILLIAMSBURG-CENTRAL,3,0,3,1627,3360,1899,1550000
3,BROOKLYN HEIGHTS,0,0,0,-,-,1910,1550000
3,COBBLE HILL,1,0,1,-,-,2007,1550000
1,MIDTOWN EAST,1,0,1,-,-,1927,1550000
4,CORONA,4,0,4,3125,2520,1931,1550000
3,SHEEPSHEAD BAY,4,0,4,2000,3000,1926,1550000
3,MIDWOOD,1,0,1,4000,4500,1920,1550000
3,BEDFORD STUYVESANT,5,0,5,1920,3840,1931,1550000
3,WILLIAMSBURG-NORTH,1,0,1,-,-,1910,1550000
1,MANHATTAN VALLEY,0,0,0,-,-,1929,1550000
4,FLUSHING-NORTH,2,0,2,4050,2538,1930,1548400
3,WINDSOR TERRACE,2,0,2,864,2805,1925,1540000
3,MADISON,1,0,1,3200,3384,1920,1535000
3,DOWNTOWN-FULTON MALL,1,0,1,-,-,2014,1532466
1,UPPER EAST SIDE (59-79),1,0,1,-,-,1986,1530000
1,UPPER WEST SIDE (96-116),0,0,0,-,-,1926,1527875
3,DOWNTOWN-FULTON MALL,1,0,1,-,-,2014,1527375
3,WILLIAMSBURG-SOUTH,1,0,1,-,-,-,1525000
3,DOWNTOWN-METROTECH,1,0,1,-,-,2005,1525000
4,FLUSHING-SOUTH,5,0,5,3000,3571,1989,1520000
4,LITTLE NECK,1,0,1,10740,2248,1930,1520000
3,SUNSET PARK,2,0,2,1603,1376,1920,1515000
3,OCEAN HILL,3,0,3,2000,2700,1910,1515000
3,BUSHWICK,3,0,3,4000,1280,1910,1513000
3,SHEEPSHEAD BAY,0,0,0,-,-,-,1507010
1,GREENWICH VILLAGE-WEST,0,0,0,-,-,1925,1500000
4,ASTORIA,0,1,1,623,623,1988,1500000
4,FOREST HILLS,1,0,1,5072,2292,1935,1500000
1,UPPER WEST SIDE (79-96),0,0,0,-,-,1900,1500000
4,CORONA,3,0,3,3150,3904,2001,1500000
1,TRIBECA,1,0,1,-,-,1985,1500000
1,HARLEM-EAST,0,0,0,-,-,2005,1500000
1,UPPER WEST SIDE (59-79),0,0,0,-,-,1912,1500000
1,MIDTOWN WEST,1,0,1,-,-,2004,1500000
2,HIGHBRIDGE/MORRIS HEIGHTS,0,0,0,9612,-,-,1500000
1,KIPS BAY,0,0,0,-,-,-,1490000
1,CLINTON,1,0,1,-,-,2008,1486645
3,PROSPECT HEIGHTS,1,0,1,-,-,-,1480000
3,FLATBUSH-CENTRAL,1,0,1,5250,2977,1910,1475000
3,MADISON,1,0,1,3200,2240,1920,1475000
1,UPPER EAST SIDE (59-79),0,0,0,-,-,1948,1475000
4,RIDGEWOOD,2,1,3,1957,3600,1931,1470000
3,MIDWOOD,3,0,3,2850,3420,1980,1470000
1,UPPER WEST SIDE (59-79),0,0,0,-,-,1965,1462500
1,MURRAY HILL,1,0,1,-,-,1960,1450000
1,GRAMERCY,0,0,0,-,-,1903,1450000
3,BOROUGH PARK,1,0,1,2483,1658,1920,1450000
3,BUSHWICK,6,0,6,2500,4275,1931,1450000
1,MURRAY HILL,1,0,1,-,-,-,1450000
3,BUSHWICK,6,0,6,2500,4200,1912,1450000
1,FLATIRON,0,0,0,-,-,1961,1440000
4,JAMAICA ESTATES,1,0,1,9130,2904,1950,1430000
4,ELMHURST,3,0,3,2000,3360,1925,1430000
1,UPPER EAST SIDE (79-96),0,0,0,-,-,1961,1430000
4,WHITESTONE,1,0,1,7500,3740,1901,1430000
1,FINANCIAL,1,0,1,-,-,1956,1425000
1,GREENWICH VILLAGE-CENTRAL,0,0,0,-,-,1955,1425000
3,BEDFORD STUYVESANT,2,0,2,1600,4160,1899,1425000
3,BEDFORD STUYVESANT,3,0,3,2000,3200,1899,1420000
3,BUSHWICK,3,0,3,2000,4000,1910,1415000
4,FLUSHING-NORTH,2,0,2,2200,1950,1930,1415000
3,BENSONHURST,2,0,2,2450,2200,1920,1415000
3,CLINTON HILL,1,0,1,-,-,2015,1405185
1,HARLEM-CENTRAL,1,0,1,-,-,-,1405000
3,WILLIAMSBURG-SOUTH,1,0,1,-,-,2009,1400093
4,SUNNYSIDE,0,2,2,1900,4782,1923,1400000
3,GRAVESEND,2,0,2,2500,2400,1931,1400000
3,DYKER HEIGHTS,2,0,2,2425,2440,1925,1400000
1,UPPER WEST SIDE (59-79),1,0,1,-,-,-,1400000
1,MIDTOWN WEST,0,0,0,-,-,1935,1400000
1,MIDTOWN EAST,0,0,0,-,-,1955,1400000
1,MIDTOWN EAST,0,0,0,-,-,1959,1400000
4,WHITESTONE,3,0,3,2900,2967,1960,1400000
1,MANHATTAN VALLEY,1,0,1,-,-,1986,1395000
1,GREENWICH VILLAGE-CENTRAL,0,0,0,-,-,1965,1390000
1,UPPER EAST SIDE (79-96),0,0,0,-,-,1960,1387000
1,UPPER WEST SIDE (79-96),0,0,0,-,-,1931,1382250
4,WHITESTONE,2,0,2,3192,2990,1960,1380000
1,UPPER EAST SIDE (59-79),1,0,1,-,-,-,1380000
4,QUEENS VILLAGE,6,3,9,6750,5928,1978,1380000
3,BATH BEACH,2,0,2,2336,2160,1940,1380000
3,FLATBUSH-CENTRAL,0,1,1,2057,3514,1930,1375000
1,UPPER EAST SIDE (79-96),1,0,1,-,-,1929,1375000
1,UPPER WEST SIDE (79-96),1,0,1,-,-,1920,1375000
1,FLATIRON,1,0,1,-,-,1986,1375000
3,WILLIAMSBURG-SOUTH,1,0,1,-,-,2009,1374637
3,BOROUGH PARK,2,0,2,2400,2080,1925,1370000
3,MADISON,4,0,4,2800,2484,1920,1365000
1,UPPER EAST SIDE (59-79),0,0,0,-,-,1960,1360000
3,BENSONHURST,2,0,2,2458,2604,1920,1360000
1,MIDTOWN EAST,0,0,0,-,-,1956,1360000
1,HARLEM-EAST,3,1,4,2018,3992,1910,1350000
1,GREENWICH VILLAGE-CENTRAL,0,0,0,-,-,1959,1350000
1,GREENWICH VILLAGE-CENTRAL,0,0,0,-,-,1927,1350000
3,WILLIAMSBURG-NORTH,1,0,1,-,-,2007,1350000
3,BENSONHURST,1,1,2,1078,2880,1931,1350000
1,UPPER WEST SIDE (96-116),1,0,1,-,-,-,1350000
3,BEDFORD STUYVESANT,3,0,3,2500,-,2015,1340000
1,LOWER EAST SIDE,1,0,1,-,-,-,1340000
1,CHELSEA,1,0,1,-,-,2012,1340000
3,BAY RIDGE,0,1,1,8039,1293,1965,1338000
1,UPPER EAST SIDE (59-79),0,0,0,-,-,1963,1338000
1,GREENWICH VILLAGE-CENTRAL,0,0,0,-,-,1900,1335000
1,FINANCIAL,1,0,1,-,-,1928,1335000
3,PARK SLOPE SOUTH,2,0,2,1932,1920,1920,1330000
3,SUNSET PARK,6,0,6,2504,4530,1927,1330000
3,CLINTON HILL,1,0,1,-,-,2009,1328500
3,DOWNTOWN-FULTON MALL,1,0,1,-,-,1926,1325000
1,CHELSEA,0,0,0,-,-,-,1325000
4,LONG ISLAND CITY,0,0,1,-,-,-,1325000
3,BROOKLYN HEIGHTS,0,0,0,-,-,1900,1325000
3,DOWNTOWN-FULTON FERRY,1,0,1,-,-,-,1325000
3,BEDFORD STUYVESANT,0,0,0,-,-,-,1322706
3,BENSONHURST,3,0,3,1574,3540,2002,1320000
4,JACKSON HEIGHTS,2,0,2,4500,1107,1940,1320000
3,BEDFORD STUYVESANT,2,0,2,1983,1784,1991,1315000
3,OCEAN PARKWAY-NORTH,3,0,3,2700,4158,1930,1315000
3,OCEAN PARKWAY-NORTH,2,0,2,2900,3780,1920,1312500
3,BOROUGH PARK,2,0,2,2379,2000,1930,1300000
1,UPPER WEST SIDE (96-116),0,0,0,-,-,1911,1300000
3,CROWN HEIGHTS,1,0,1,-,-,2013,1300000
3,BEDFORD STUYVESANT,3,0,3,1917,4036,1899,1300000
3,BOROUGH PARK,2,0,2,2000,2160,1899,1300000
1,GREENWICH VILLAGE-CENTRAL,0,0,0,-,-,1930,1300000
4,ASTORIA,3,0,3,3033,3276,1940,1300000
3,CROWN HEIGHTS,1,0,1,2562,2060,1920,1300000
1,UPPER EAST SIDE (59-79),0,0,1,-,-,1986,1300000
3,SUNSET PARK,6,0,6,2504,3600,1924,1300000
1,GREENWICH VILLAGE-WEST,1,0,1,-,-,1930,1300000
3,SUNSET PARK,2,0,2,2003,2000,1910,1295000
3,MILL BASIN,1,0,1,4800,3150,1955,1290000
4,JACKSON HEIGHTS,3,0,3,1967,2650,1960,1290000
4,CORONA,3,0,3,3000,2457,1910,1288000
3,GRAVESEND,1,1,2,3867,2794,1950,1288000
3,DOWNTOWN-FULTON MALL,1,0,1,-,-,1926,1287500
3,WILLIAMSBURG-SOUTH,1,0,1,-,-,2014,1282942
1,MIDTOWN WEST,1,0,1,-,-,-,1280000
3,CLINTON HILL,1,0,1,-,-,2015,1279940
3,FLATBUSH-CENTRAL,1,0,1,1638,1768,1930,1279000
3,BROOKLYN HEIGHTS,1,0,1,-,-,2008,1275000
1,UPPER EAST SIDE (59-79),0,0,0,-,-,1957,1275000
1,HARLEM-EAST,0,0,0,-,-,2005,1275000
1,SOUTHBRIDGE,0,0,0,-,-,1971,1275000
3,CROWN HEIGHTS,1,0,1,-,-,2006,1273500
1,UPPER EAST SIDE (79-96),0,0,0,-,-,1961,1268000
1,UPPER WEST SIDE (79-96),0,0,0,-,-,1901,1260000
1,CLINTON,1,0,1,-,-,1940,1255607
3,BENSONHURST,3,0,3,4000,3085,1910,1250000
3,BOROUGH PARK,4,0,4,1807,2800,1931,1250000
3,GREENPOINT,1,0,1,-,-,2008,1250000
3,SUNSET PARK,6,0,6,2587,4000,1925,1250000
4,COLLEGE POINT,0,0,0,2494,-,-,1250000
3,MIDWOOD,3,0,3,2250,2862,-,1250000
3,CARROLL GARDENS,2,0,2,881,1512,1899,1250000
4,LONG ISLAND CITY,1,0,1,-,-,1955,1250000
1,UPPER WEST SIDE (59-79),1,0,1,-,-,-,1250000
4,WHITESTONE,2,0,2,5511,3388,1970,1238000
3,OCEAN HILL,0,0,0,5215,-,-,1237500
1,FINANCIAL,1,0,1,-,-,2005,1235000
3,WILLIAMSBURG-SOUTH,1,0,1,-,-,2009,1232082
1,UPPER WEST SIDE (59-79),1,0,1,-,-,-,1230000
3,GRAVESEND,3,0,3,2700,2280,1935,1230000
3,GRAVESEND,2,0,2,1933,2280,1960,1230000
3,BUSHWICK,6,0,6,2650,5485,1914,1225000
1,SOUTHBRIDGE,0,0,0,-,-,1971,1220000
4,WHITESTONE,2,0,2,4570,2550,1993,1220000
3,CROWN HEIGHTS,2,0,2,1900,3612,1901,1215000
1,FINANCIAL,1,0,1,-,-,1927,1212500
4,HOWARD BEACH,1,0,1,5500,3184,2004,1212500
4,MIDDLE VILLAGE,2,0,2,2955,2394,2010,1210000
3,SUNSET PARK,2,0,2,2000,2710,1910,1210000
1,TRIBECA,1,0,1,-,-,1987,1205098
1,CHELSEA,0,0,0,-,-,1932,1205000
1,UPPER EAST SIDE (79-96),0,0,0,-,-,1970,1205000
1,MIDTOWN EAST,0,0,0,-,-,1960,1205000
1,HARLEM-UPPER,8,0,8,1500,2202,1926,1200000
3,OCEAN PARKWAY-NORTH,2,0,2,2750,2480,1925,1200000
1,ALPHABET CITY,1,0,1,-,-,2014,1200000
3,GREENPOINT,2,0,2,1197,2000,1910,1200000
3,BAY RIDGE,2,0,2,2002,2480,1920,1200000
3,FLATBUSH-CENTRAL,6,0,6,2708,6318,1906,1200000
4,RIDGEWOOD,2,1,3,2219,3000,1930,1200000
3,GRAVESEND,1,0,1,-,-,-,1200000
4,JACKSON HEIGHTS,6,0,6,1958,4590,1928,1195430
4,ELMHURST,3,0,3,2500,2722,1945,1195000
1,TRIBECA,1,0,1,-,-,1987,1194916
1,HARLEM-EAST,0,0,0,-,-,1987,1187500
3,BEDFORD STUYVESANT,2,0,2,1942,2825,1899,1185000
3,MADISON,1,0,1,3000,1984,1930,1182500
3,BOROUGH PARK,2,0,2,2300,2880,1940,1180000
3,BOROUGH PARK,2,1,3,1500,2144,1931,1180000
1,UPPER EAST SIDE (79-96),1,0,1,-,-,1986,1180000
4,JACKSON HEIGHTS,3,0,3,2721,2874,2006,1180000
4,FLUSHING-NORTH,1,0,1,4000,2770,1965,1177000
1,FINANCIAL,1,0,1,-,-,1927,1175000
1,GREENWICH VILLAGE-WEST,0,0,0,-,-,1962,1175000
3,SHEEPSHEAD BAY,2,0,2,2835,3176,1960,1175000
1,UPPER EAST SIDE (79-96),1,0,1,-,-,2002,1173737
1,GREENWICH VILLAGE-WEST,0,0,0,-,-,1939,1170000
4,ASTORIA,2,0,2,1800,1728,1935,1170000
4,EAST ELMHURST,4,0,4,2906,3476,1926,1165000
3,DOWNTOWN-FULTON FERRY,1,0,1,-,-,1916,1155000
3,FLATBUSH-CENTRAL,1,0,1,4000,3151,1910,1155000
1,ROOSEVELT ISLAND,0,0,0,-,-,1975,1150000
4,RICHMOND HILL,2,1,3,1717,3078,1931,1150000
3,SUNSET PARK,1,0,1,-,-,-,1150000
3,SUNSET PARK,2,0,2,2003,2320,1925,1150000
3,SHEEPSHEAD BAY,2,0,2,2625,2160,1930,1150000
4,JAMAICA ESTATES,1,0,1,4788,3146,1940,1150000
1,MURRAY HILL,0,0,0,-,-,1935,1150000
3,BATH BEACH,3,0,3,2500,2400,1930,1150000
1,GRAMERCY,0,0,0,-,-,1958,1150000
4,BAYSIDE,0,1,1,8000,1795,1950,1150000
1,UPPER WEST SIDE (96-116),0,0,0,-,-,1926,1150000
3,SHEEPSHEAD BAY,2,0,2,2400,1944,1925,1150000
4,BEECHHURST,1,0,1,5000,1932,1930,1145000
1,GRAMERCY,0,0,0,-,-,1956,1142500
3,BUSHWICK,2,0,2,1900,2565,1910,1140500
4,BAYSIDE,1,0,1,5000,2376,1935,1135000
3,BENSONHURST,2,0,2,3000,1572,1930,1135000
1,FINANCIAL,1,0,1,-,-,1967,1130000
1,UPPER WEST SIDE (79-96),0,0,0,-,-,1939,1125000
1,SOUTHBRIDGE,0,0,0,-,-,1901,1125000
1,GREENWICH VILLAGE-WEST,0,0,0,-,-,1954,1125000
3,BEDFORD STUYVESANT,0,0,0,-,-,-,1120075
1,UPPER EAST SIDE (79-96),0,0,0,-,-,1966,1120075
2,MELROSE/CONCOURSE,0,0,0,3250,-,-,1120000
1,CLINTON,1,0,1,-,-,1940,1120000
3,DOWNTOWN-FULTON MALL,1,0,1,-,-,2007,1115000
1,KIPS BAY,1,0,1,-,-,-,1112000
3,PARK SLOPE SOUTH,1,0,1,-,-,-,1110000
4,FLUSHING-NORTH,1,0,1,-,-,-,1110000
4,FLUSHING-NORTH,1,0,1,-,-,2015,1108098
3,KENSINGTON,1,0,1,-,-,2014,1100070
4,KEW GARDENS,2,0,2,3200,3394,2014,1100000
3,BEDFORD STUYVESANT,0,0,0,1400,-,-,1100000
1,GREENWICH VILLAGE-CENTRAL,0,0,0,-,-,1964,1100000
4,FLUSHING-NORTH,1,0,1,5050,1545,1920,1100000
4,CORONA,7,0,7,2500,5445,1931,1100000
3,DOWNTOWN-FULTON FERRY,1,0,1,-,-,1916,1100000
3,OCEAN PARKWAY-NORTH,3,0,3,2500,2351,1930,1100000
3,BUSHWICK,1,0,1,-,-,1899,1100000
1,MIDTOWN EAST,0,0,0,-,-,1959,1100000
2,FIELDSTON,1,0,1,7426,1661,1955,1100000
4,LONG ISLAND CITY,1,0,1,-,-,2008,1100000
5,DONGAN HILLS-COLONY,1,0,1,9039,3940,1985,1100000
2,WILLIAMSBRIDGE,0,0,0,5250,-,-,1100000
5,CLOVE LAKES,1,0,1,11400,1296,1950,1100000
3,FORT GREENE,1,0,1,-,-,-,1095000
4,FLUSHING-NORTH,1,0,1,-,-,2014,1094618
3,WILLIAMSBURG-SOUTH,1,0,1,-,-,2009,1094618
3,GREENPOINT,0,0,0,-,-,-,1093600
3,BRIGHTON BEACH,1,0,1,-,-,2016,1092625
1,HARLEM-UPPER,0,4,4,11873,19186,1926,1090101
1,GRAMERCY,0,0,0,-,-,1972,1090000
4,BAYSIDE,2,0,2,4000,1812,1935,1090000
4,BAYSIDE,1,0,1,4000,2466,1930,1088000
3,PARK SLOPE,0,0,0,-,-,1920,1085000
3,BEDFORD STUYVESANT,1,0,1,2000,1240,1899,1083500
3,BAY RIDGE,1,0,1,-,-,-,1080000
2,RIVERDALE,1,0,1,-,-,2006,1080000
4,ASTORIA,1,0,1,-,-,2007,1077280
3,WILLIAMSBURG-NORTH,1,0,1,-,-,2007,1075000
4,DOUGLASTON,1,0,1,6800,1528,1930,1075000
3,WILLIAMSBURG-EAST,1,0,1,-,-,2009,1075000
1,FLATIRON,1,0,1,-,-,-,1075000
1,TRIBECA,1,0,1,-,-,1985,1072000
3,CROWN HEIGHTS,2,0,2,2811,2920,1910,1070500
1,UPPER WEST SIDE (59-79),0,0,0,-,-,1962,1070000
1,LOWER EAST SIDE,1,0,1,-,-,1901,1070000
3,FLATBUSH-CENTRAL,3,0,3,2000,3282,1905,1065000
4,FLUSHING-NORTH,0,0,1,-,-,2006,1061672
3,BATH BEACH,1,1,2,1172,1800,1920,1060000
4,CORONA,2,0,2,2808,2495,1915,1060000
3,MADISON,4,0,4,2483,3172,1932,1060000
5,ROSSVILLE,1,0,1,10165,2960,1985,1055000
4,FLUSHING-NORTH,1,0,1,-,-,2008,1050000
4,ELMHURST,2,0,2,5075,1356,1910,1050000
3,PROSPECT HEIGHTS,1,0,1,-,-,2008,1050000
3,PARK SLOPE,0,0,0,-,-,1928,1050000
4,MASPETH,2,0,2,2767,2304,1910,1050000
1,UPPER WEST SIDE (59-79),0,0,0,-,-,1971,1050000
5,TODT HILL,1,0,1,15228,3096,1930,1050000
1,HARLEM-EAST,1,0,1,-,-,1899,1050000
1,HARLEM-CENTRAL,1,0,1,-,-,2006,1050000
1,UPPER WEST SIDE (59-79),1,0,1,-,-,-,1048797
1,MIDTOWN WEST,1,0,1,-,-,2005,1040000
3,PROSPECT HEIGHTS,1,0,1,-,-,2015,1040000
4,FLUSHING-NORTH,2,0,2,3920,1652,1930,1040000
1,UPPER EAST SIDE (79-96),1,0,1,-,-,1986,1040000
3,BOERUM HILL,1,0,1,-,-,1920,1038615
3,BRIGHTON BEACH,1,0,1,-,-,2016,1038513
2,BELMONT,0,1,1,3216,3200,1931,1035000
1,MIDTOWN EAST,0,0,0,-,-,1928,1030000
1,LOWER EAST SIDE,0,0,0,-,-,1960,1025000
4,WOODSIDE,3,0,3,2000,1856,1920,1025000
3,RED HOOK,0,0,0,2500,-,-,1025000
3,CLINTON HILL,2,0,2,1667,1680,1901,1025000
3,BROWNSVILLE,1,1,2,6005,3200,1930,1025000
4,FLUSHING-NORTH,1,0,1,-,-,2015,1019510
4,FLUSHING-NORTH,1,0,1,-,-,2014,1019268
3,PARK SLOPE,1,0,1,-,-,2006,1013158
4,DOUGLASTON,1,0,1,4410,2228,1950,1013000
3,PARK SLOPE,0,0,0,-,-,1921,1010000
3,BUSHWICK,6,0,6,2500,4500,1931,1000000
3,BATH BEACH,2,1,3,2500,4824,1910,1000000
3,BEDFORD STUYVESANT,4,0,4,1900,2565,1910,1000000
3,BEDFORD STUYVESANT,3,0,3,2500,3168,1901,999999
1,UPPER EAST SIDE (59-79),1,0,1,-,-,1986,999990
1,UPPER EAST SIDE (59-79),0,0,0,-,-,-,999900
3,BOROUGH PARK,3,0,3,2000,3400,1955,999000
3,BROOKLYN HEIGHTS,1,0,1,-,-,2008,999000
3,BUSHWICK,6,0,6,2858,5572,1931,999000
4,FLUSHING-SOUTH,2,0,2,4000,2100,1925,999000
1,UPPER EAST SIDE (59-79),0,0,0,-,-,1966,999000
3,FLATBUSH-EAST,0,0,0,1900,-,-,999000
4,FRESH MEADOWS,2,0,2,2876,1848,1955,999000
3,BAY RIDGE,1,0,1,2500,1488,1925,999000
3,BOROUGH PARK,2,0,2,2000,2060,1901,999000
1,UPPER WEST SIDE (79-96),0,0,0,-,-,1924,998499
5,WESTERLEIGH,1,0,1,6975,2946,2016,997883
3,FLATBUSH-CENTRAL,2,2,4,2210,3630,1930,997500
1,UPPER EAST SIDE (79-96),0,0,0,-,-,1961,997000
3,BAY RIDGE,1,0,1,2502,1344,1925,995000
1,KIPS BAY,1,0,1,-,-,2007,995000
3,MADISON,2,0,2,2475,2500,1920,995000
4,HOLLIS HILLS,1,0,1,7394,1832,1940,995000
4,WOODSIDE,2,0,2,2000,2020,1920,995000
3,BOROUGH PARK,0,0,0,-,-,-,993119
4,FLUSHING-NORTH,0,0,0,-,-,-,992526
1,UPPER EAST SIDE (79-96),1,0,1,-,-,2002,990452
3,BAY RIDGE,4,0,4,2000,2720,1924,990000
3,SUNSET PARK,3,0,3,2000,2592,1905,990000
4,ELMHURST,0,0,0,2025,-,-,990000
1,UPPER EAST SIDE (79-96),0,0,0,-,-,1910,990000
3,BOROUGH PARK,1,0,1,-,-,-,990000
4,CORONA,2,0,2,2017,2620,1960,990000
4,FLUSHING-NORTH,1,0,1,-,-,2015,989472
3,BOERUM HILL,1,0,1,-,-,-,989000
4,DOUGLASTON,1,0,1,4725,1489,1960,988000
1,MIDTOWN EAST,0,0,0,-,-,1956,986684
2,RIVERDALE,1,0,1,2738,2338,1975,985000
1,CLINTON,1,0,1,-,-,2008,985000
3,GRAVESEND,2,0,2,1933,2500,1965,985000
1,UPPER EAST SIDE (79-96),1,0,1,-,-,2002,982611
4,FLUSHING-SOUTH,2,0,2,1920,2280,1965,980000
5,GRYMES HILL,1,0,1,36000,4219,1960,980000
5,ROSSVILLE,2,0,2,10487,3824,1986,980000
1,UPPER EAST SIDE (59-79),1,0,1,-,-,1985,980000
3,BRIGHTON BEACH,1,0,1,-,-,2005,980000
4,RIDGEWOOD,2,0,2,2400,2200,1925,980000
3,BENSONHURST,2,0,2,2450,2620,1920,980000
4,CORONA,2,0,2,2500,2112,1930,980000
1,UPPER WEST SIDE (59-79),0,0,0,-,-,1910,979900
4,BELLE HARBOR,1,0,1,3000,1332,1940,975000
1,UPPER WEST SIDE (59-79),1,0,1,-,-,-,975000
3,WILLIAMSBURG-NORTH,1,0,1,-,-,2008,975000
1,EAST VILLAGE,1,0,1,-,-,1900,975000
4,GLENDALE,2,0,2,2413,2280,1910,975000
1,GREENWICH VILLAGE-CENTRAL,0,0,0,-,-,1900,975000
3,PROSPECT HEIGHTS,1,0,1,-,-,2015,975000
4,CORONA,2,0,2,2000,1473,1920,975000
4,FLUSHING-NORTH,2,0,2,2945,2600,1970,975000
2,SOUNDVIEW,4,0,4,5000,2100,1921,975000
1,FLATIRON,0,0,0,-,-,1965,975000
4,FLUSHING-NORTH,1,0,1,6000,1840,1925,975000
1,LOWER EAST SIDE,0,0,0,-,-,1960,975000
4,MIDDLE VILLAGE,2,0,2,3300,2800,1960,974000
1,CLINTON,1,0,1,-,-,1940,972428
3,BOROUGH PARK,1,0,1,-,-,2007,970500
1,HARLEM-CENTRAL,1,0,1,-,-,2003,970000
3,BOROUGH PARK,3,0,3,2000,2472,1899,970000
4,FLUSHING-SOUTH,1,0,1,4000,1472,1950,969000
3,DOWNTOWN-FULTON MALL,1,0,1,-,-,2014,967337
4,SUNNYSIDE,1,0,1,1742,952,1940,967000
1,CLINTON,1,0,1,-,-,1940,966000
3,DOWNTOWN-FULTON FERRY,1,0,1,-,-,-,965500
4,FLUSHING-NORTH,1,0,1,-,-,2014,965301
4,CORONA,2,1,3,2025,2810,1910,965000
3,SUNSET PARK,1,0,1,-,-,2004,965000
3,WILLIAMSBURG-NORTH,0,0,0,-,-,-,963465
4,FLUSHING-NORTH,1,0,1,3600,1812,1945,962500
1,FINANCIAL,1,0,1,-,-,2003,962246
1,UPPER WEST SIDE (59-79),1,0,1,-,-,2005,960000
3,SHEEPSHEAD BAY,2,0,2,1992,2166,1955,960000
4,LONG ISLAND CITY,4,0,4,2940,2840,2001,960000
4,FLUSHING-NORTH,1,0,1,1948,1520,1935,960000
3,GREENPOINT,0,0,0,-,-,-,958668
4,BAYSIDE,1,0,1,5285,1628,1940,958000
4,HOWARD BEACH,3,0,3,3163,3648,2001,957000
1,UPPER WEST SIDE (79-96),0,0,0,-,-,1910,951000
3,PARK SLOPE SOUTH,1,0,1,-,-,-,950000
2,CROTONA PARK,0,0,0,5000,-,-,950000
4,DOUGLASTON,1,0,1,5432,1283,1950,950000
4,WOODSIDE,4,0,4,1904,3600,1973,950000
3,BENSONHURST,2,0,2,1850,2424,1901,950000
1,JAVITS CENTER,0,0,0,-,-,1960,950000
4,FLUSHING-NORTH,1,0,1,4595,1320,1930,950000
